,train,val,test
tumor_009,True,False,False
tumor_054,True,False,False
tumor_061,True,False,False
tumor_091,True,False,False
tumor_078,True,False,False
tumor_102,True,False,False
tumor_101,True,False,False
tumor_045,True,False,False
tumor_100,True,False,False
tumor_105,True,False,False
tumor_002,True,False,False
tumor_107,True,False,False
tumor_029,True,False,False
tumor_046,True,False,False
tumor_096,True,False,False
tumor_073,True,False,False
tumor_016,True,False,False
tumor_024,True,False,False
tumor_019,True,False,False
tumor_093,True,False,False
tumor_031,True,False,False
tumor_084,True,False,False
tumor_072,True,False,False
tumor_060,True,False,False
tumor_080,True,False,False
tumor_095,True,False,False
tumor_090,True,False,False
tumor_079,True,False,False
tumor_103,True,False,False
tumor_017,True,False,False
tumor_027,True,False,False
tumor_056,True,False,False
tumor_069,True,False,False
tumor_075,True,False,False
test_001,True,False,False
test_002,True,False,False
test_008,True,False,False
test_010,True,False,False
test_013,True,False,False
test_021,True,False,False
test_026,True,False,False
test_027,True,False,False
test_029,True,False,False
tumor_007,True,False,False
test_033,True,False,False
test_040,True,False,False
test_046,True,False,False
test_048,True,False,False
test_051,True,False,False
test_052,True,False,False
test_061,True,False,False
tumor_081,True,False,False
test_064,True,False,False
test_065,True,False,False
test_066,True,False,False
test_068,True,False,False
test_069,True,False,False
test_073,True,False,False
test_075,True,False,False
test_079,True,False,False
test_082,True,False,False
test_084,True,False,False
test_090,True,False,False
tumor_108,True,False,False
test_092,True,False,False
test_094,True,False,False
test_097,True,False,False
test_099,True,False,False
test_102,True,False,False
test_105,True,False,False
test_108,True,False,False
test_110,True,False,False
tumor_015,True,False,False
test_113,True,False,False
test_114,True,False,False
test_116,True,False,False
test_117,True,False,False
test_121,True,False,False
test_122,True,False,False
tumor_055,True,False,False
tumor_032,True,False,False
tumor_050,True,False,False
tumor_041,True,False,False
tumor_035,True,False,False
tumor_025,True,False,False
tumor_005,True,False,False
tumor_030,True,False,False
tumor_053,True,False,False
tumor_048,True,False,False
tumor_026,True,False,False
tumor_012,True,False,False
tumor_047,True,False,False
tumor_066,True,False,False
tumor_057,True,False,False
tumor_044,True,False,False
tumor_071,True,False,False
tumor_051,True,False,False
tumor_040,True,False,False
tumor_083,True,False,False
tumor_085,True,False,False
tumor_104,True,False,False
tumor_087,True,False,False
test_060,False,True,False
test_077,False,True,False
normal_138,False,True,False
normal_072,False,True,False
normal_076,False,True,False
test_093,False,True,False
normal_065,False,True,False
test_014,False,True,False
normal_032,False,True,False
normal_104,False,True,False
test_055,False,True,False
test_006,False,True,False
normal_068,False,True,False
test_017,False,True,False
normal_058,False,True,False
normal_155,False,True,False
normal_003,False,True,False
test_031,False,True,False
normal_103,False,True,False
test_042,False,True,False
normal_107,False,True,False
normal_146,False,True,False
test_070,False,True,False
test_015,False,True,False
tumor_110,False,True,False
tumor_038,False,True,False
tumor_036,False,True,False
tumor_065,False,True,False
tumor_028,False,True,False
tumor_043,False,True,False
tumor_089,False,True,False
tumor_097,False,True,False
test_038,False,True,False
tumor_023,False,True,False
tumor_086,False,True,False
tumor_094,False,True,False
tumor_021,False,True,False
tumor_058,False,True,False
tumor_004,False,True,False
tumor_082,False,True,False
normal_087,False,False,True
normal_075,False,False,True
normal_100,False,False,True
normal_147,False,False,True
normal_084,False,False,True
test_083,False,False,True
normal_066,False,False,True
normal_106,False,False,True
normal_067,False,False,True
normal_041,False,False,True
test_043,False,False,True
test_089,False,False,True
test_009,False,False,True
normal_148,False,False,True
test_054,False,False,True
test_005,False,False,True
test_035,False,False,True
normal_159,False,False,True
normal_077,False,False,True
normal_063,False,False,True
normal_122,False,False,True
test_127,False,False,True
test_025,False,False,True
normal_142,False,False,True
tumor_098,False,False,True
test_071,False,False,True
tumor_033,False,False,True
tumor_106,False,False,True
tumor_039,False,False,True
test_030,False,False,True
test_074,False,False,True
tumor_064,False,False,True
test_104,False,False,True
tumor_022,False,False,True
tumor_059,False,False,True
test_011,False,False,True
tumor_070,False,False,True
test_016,False,False,True
test_004,False,False,True
tumor_001,False,False,True
